,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
130,Karnataka,3,15,1,1,0.21471300721168518,0.23106840484736577,-0.25269739120669144
131,Karnataka,3,15,1,5,0.23140554130077362,0.2474359663819195,-0.43645030782025174
132,Karnataka,3,15,1,8,0.28635841608047485,0.30241797125151193,-1.145755218442444
133,Karnataka,3,15,1,16,0.2004798948764801,0.20975468285576665,-0.03225821004090368
134,Karnataka,3,15,1,32,0.223328098654747,0.23654599826357217,-0.31279265544022317
135,Karnataka,4,5,1,1,0.326360285282135,0.376839180757713,-1.593648835189713
136,Karnataka,4,5,1,5,0.1886657476425171,0.22016855501938448,0.11466087152109417
137,Karnataka,4,5,1,8,0.23656076192855835,0.26765016296110244,-0.308380494090188
138,Karnataka,4,5,1,16,0.1604706197977066,0.17828700327972197,0.4194516767306957
139,Karnataka,4,5,1,32,0.07676723599433899,0.08660705327895256,0.8630047187415525
140,Karnataka,4,7,1,1,0.5050051212310791,0.5546411844178664,-4.839442290316734
141,Karnataka,4,7,1,5,0.1725214719772339,0.2061745986238192,0.19310423180778546
142,Karnataka,4,7,1,8,0.256061315536499,0.28054669978519536,-0.49402334339929066
143,Karnataka,4,7,1,16,0.11028449982404709,0.11992373822283822,0.7270032589226536
144,Karnataka,4,7,1,32,0.15370577573776245,0.1659414518374265,0.47729472799463246
145,Karnataka,4,15,1,1,0.3477388024330139,0.38353934669449136,-2.4513166114962277
146,Karnataka,4,15,1,5,0.33082419633865356,0.35204781836586946,-1.9078252502763866
147,Karnataka,4,15,1,8,0.17632578313350677,0.1931683049059126,0.12453921131175139
148,Karnataka,4,15,1,16,0.11583556234836578,0.1250553008776033,0.6330818270062961
149,Karnataka,4,15,1,32,0.11562547832727432,0.1258846583505985,0.6281989493922655
150,Karnataka,5,5,1,1,0.36704203486442566,0.4041493464557008,-1.9832031040113653
151,Karnataka,5,5,1,5,0.20171047747135162,0.23044437344188368,0.03009030724870665
152,Karnataka,5,5,1,8,0.1721310317516327,0.20581208541856164,0.2263567166328786
153,Karnataka,5,5,1,16,0.05786486342549324,0.06579295418969097,0.9209398082940421
154,Karnataka,5,5,1,32,0.11357229202985764,0.1335135149244932,0.6744261762246262
155,Karnataka,5,7,1,1,0.06825341284275055,0.07714611967443828,0.887026850998692
156,Karnataka,5,7,1,5,0.22103072702884674,0.2527746366007587,-0.21286933817661935
157,Karnataka,5,7,1,8,0.15720880031585693,0.18229242506323592,0.3692106437346755
158,Karnataka,5,7,1,16,0.16551490128040314,0.17983277294818772,0.3861181879236787
159,Karnataka,5,7,1,32,0.13508284091949463,0.15089283727632039,0.5678003920611661
160,Karnataka,5,15,1,1,0.2965241074562073,0.3189054264467288,-1.3861011361003865
161,Karnataka,5,15,1,5,0.221316397190094,0.23990798114978362,-0.3503748009563217
162,Karnataka,5,15,1,8,0.23288773000240326,0.25438133688773124,-0.5182223615219368
163,Karnataka,5,15,1,16,0.2052726298570633,0.21898453775400517,-0.12510193745185405
164,Karnataka,5,15,1,32,0.15467990934848785,0.16623367127202243,0.351659766953466
165,Karnataka,6,5,1,1,0.23148073256015778,0.2559842976787315,-0.19681140173917155
166,Karnataka,6,5,1,5,0.28323599696159363,0.3340874897573086,-1.0385410071140018
167,Karnataka,6,5,1,8,0.14186859130859375,0.15775678212863592,0.5454567980508642
168,Karnataka,6,5,1,16,0.22248287498950958,0.24280010699897464,-0.07670512524688822
169,Karnataka,6,5,1,32,0.15451033413410187,0.16984216420855514,0.473146245437602
170,Karnataka,6,7,1,1,0.2986040711402893,0.3178837154009689,-0.9181549614981266
171,Karnataka,6,7,1,5,0.2390078455209732,0.27633622336391045,-0.44951520862965766
172,Karnataka,6,7,1,8,0.12704555690288544,0.13457207671671378,0.656238675215047
173,Karnataka,6,7,1,16,0.11823305487632751,0.13434349511338212,0.6574054667129308
174,Karnataka,6,7,1,32,0.12761501967906952,0.13650682918613818,0.6462830638820924
175,Karnataka,6,15,1,1,0.2873300313949585,0.30691132472272387,-1.2099924293697137
176,Karnataka,6,15,1,5,0.343351811170578,0.37544984459558195,-2.307263612870118
177,Karnataka,6,15,1,8,0.1303078532218933,0.13911125260763105,0.5459647884412747
178,Karnataka,6,15,1,16,0.15296980738639832,0.16921400742476164,0.3282037293412152
179,Karnataka,6,15,1,32,0.1655547171831131,0.17710151765992674,0.26411571125559885
180,Uttar-Pradesh,1,5,1,1,0.09851500391960144,0.1091795221849531,0.7786639060963967
181,Uttar-Pradesh,1,5,1,5,0.46041539311408997,0.5001560802036368,-3.6449497370630866
182,Uttar-Pradesh,1,5,1,8,0.14976561069488525,0.16912527367082658,0.46888698375251214
183,Uttar-Pradesh,1,5,1,16,0.08355123549699783,0.09130649258241058,0.8451991780346576
184,Uttar-Pradesh,1,5,1,32,0.08931409567594528,0.09776782337855025,0.8225149280213382
185,Uttar-Pradesh,1,7,1,1,0.4717867076396942,0.5120842189124168,-4.192231697023282
186,Uttar-Pradesh,1,7,1,5,0.25645631551742554,0.2829315066881483,-0.5850168122993895
187,Uttar-Pradesh,1,7,1,8,0.19250941276550293,0.2113130193871493,0.11585439786178242
188,Uttar-Pradesh,1,7,1,16,0.1332867592573166,0.1449626014529682,0.5839138967393995
189,Uttar-Pradesh,1,7,1,32,0.08939514309167862,0.09637114873506256,0.8161069624761708
190,Uttar-Pradesh,1,15,1,1,0.4944837987422943,0.5195972716178358,-6.817231259039222
191,Uttar-Pradesh,1,15,1,5,0.21509799361228943,0.22443464365740068,-0.4584750356919072
192,Uttar-Pradesh,1,15,1,8,0.22094504535198212,0.23136012606106965,-0.5498734424819787
193,Uttar-Pradesh,1,15,1,16,0.20411601662635803,0.20884647454313016,-0.26291318097912586
194,Uttar-Pradesh,1,15,1,32,0.14324858784675598,0.14912549370230707,0.3560932846864978
195,Uttar-Pradesh,2,5,1,1,0.37684404850006104,0.4301348871371272,-2.4354156554524953
196,Uttar-Pradesh,2,5,1,5,0.2493651956319809,0.2784333785765655,-0.4395027248687251
197,Uttar-Pradesh,2,5,1,8,0.22288036346435547,0.24169549650158192,-0.0846934736034135
198,Uttar-Pradesh,2,5,1,16,0.13293705880641937,0.14518370150122484,0.6086136675354012
199,Uttar-Pradesh,2,5,1,32,0.11181313544511795,0.12142416651846942,0.7262335911117391
200,Uttar-Pradesh,2,7,1,1,0.41103488206863403,0.4657504591158919,-3.2951448038872604
201,Uttar-Pradesh,2,7,1,5,0.22684797644615173,0.24934228418380486,-0.23101439486525277
202,Uttar-Pradesh,2,7,1,8,0.24177713692188263,0.26635158962504396,-0.4046944787012581
203,Uttar-Pradesh,2,7,1,16,0.2119581699371338,0.22755924020782944,-0.02532184502695589
204,Uttar-Pradesh,2,7,1,32,0.14262910187244415,0.1547439472204163,0.5258687692709345
205,Uttar-Pradesh,2,15,1,1,0.43312913179397583,0.472987649928759,-5.477669795700497
206,Uttar-Pradesh,2,15,1,5,0.19925250113010406,0.20765217749087508,-0.24851041320693268
207,Uttar-Pradesh,2,15,1,8,0.2966684103012085,0.30832354872660556,-1.7525333253890745
208,Uttar-Pradesh,2,15,1,16,0.2417495995759964,0.25188603358085854,-0.8370771308600065
209,Uttar-Pradesh,2,15,1,32,0.19594328105449677,0.2015877840906444,-0.1766508760703125
210,Uttar-Pradesh,3,5,1,1,0.532859742641449,0.592393329047816,-5.516136650504884
211,Uttar-Pradesh,3,5,1,5,0.2010498046875,0.22295942078489578,0.07695776255247466
212,Uttar-Pradesh,3,5,1,8,0.21982556581497192,0.24294593710070309,-0.09594615249286798
213,Uttar-Pradesh,3,5,1,16,0.21200431883335114,0.23086312867032077,0.01035583109659255
214,Uttar-Pradesh,3,5,1,32,0.20114420354366302,0.21865508029685393,0.11225326788183099
215,Uttar-Pradesh,3,7,1,1,0.532905638217926,0.643780936266303,-7.206301346143027
216,Uttar-Pradesh,3,7,1,5,0.2266281247138977,0.24769128256832618,-0.21476626451020864
217,Uttar-Pradesh,3,7,1,8,0.23802851140499115,0.2599702473728121,-0.33819249404926954
218,Uttar-Pradesh,3,7,1,16,0.20699436962604523,0.22498179534274612,-0.0022268159437810464
219,Uttar-Pradesh,3,7,1,32,0.21158376336097717,0.22742117746364773,-0.0240780794847546
220,Uttar-Pradesh,3,15,1,1,0.20964832603931427,0.21909675192962996,-0.38992401544859456
221,Uttar-Pradesh,3,15,1,5,0.2997892200946808,0.30936038483671097,-1.7710774414367099
222,Uttar-Pradesh,3,15,1,8,0.24376673996448517,0.2536691732588759,-0.8631790396677654
223,Uttar-Pradesh,3,15,1,16,0.274446964263916,0.2854659345432662,-1.3595421499430045
224,Uttar-Pradesh,3,15,1,32,0.2562701404094696,0.26477425037516,-1.0298816186539086
225,Uttar-Pradesh,4,5,1,1,0.3920048773288727,0.4308846875223029,-2.4474032623788635
226,Uttar-Pradesh,4,5,1,5,0.26412808895111084,0.2881124969136188,-0.5413245609192092
227,Uttar-Pradesh,4,5,1,8,0.3096493184566498,0.3463233620944071,-1.2270678632622993
228,Uttar-Pradesh,4,5,1,16,0.128822460770607,0.1428632367699116,0.6210247473085698
229,Uttar-Pradesh,4,5,1,32,0.04718681797385216,0.050792326086059846,0.9520966239732641
230,Uttar-Pradesh,4,7,1,1,0.5492750406265259,0.5921374307366059,-5.942505270634193
231,Uttar-Pradesh,4,7,1,5,0.2706160843372345,0.30110409984606795,-0.7951658335962337
232,Uttar-Pradesh,4,7,1,8,0.27153894305229187,0.30095908864939785,-0.7934370332324292
233,Uttar-Pradesh,4,7,1,16,0.08430442959070206,0.0948443859823733,0.8218874672648053
234,Uttar-Pradesh,4,7,1,32,0.11079763621091843,0.13181367615554418,0.6559732836978841
235,Uttar-Pradesh,4,15,1,1,0.41437026858329773,0.438630380816543,-4.570787921656268
236,Uttar-Pradesh,4,15,1,5,0.3842460513114929,0.40195018073987926,-3.6780370669360476
237,Uttar-Pradesh,4,15,1,8,0.2700340151786804,0.2858728783966187,-1.3662746010840818
238,Uttar-Pradesh,4,15,1,16,0.16466177999973297,0.17071937989941466,0.15611191599609275
239,Uttar-Pradesh,4,15,1,32,0.11685491353273392,0.121537116000375,0.5723021818813427
240,Uttar-Pradesh,5,5,1,1,0.382956326007843,0.41348496231679155,-2.1746023000647683
241,Uttar-Pradesh,5,5,1,5,0.18979297578334808,0.207763671875,0.19848966284894687
242,Uttar-Pradesh,5,5,1,8,0.21653801202774048,0.24117766857448295,-0.08005054330803629
243,Uttar-Pradesh,5,5,1,16,0.07397078722715378,0.0843391383086234,0.867922692741863
244,Uttar-Pradesh,5,5,1,32,0.11526001244783401,0.1265641562624276,0.7025655064245928
245,Uttar-Pradesh,5,7,1,1,0.031245816498994827,0.042249749096500686,0.9646556860279527
246,Uttar-Pradesh,5,7,1,5,0.278117835521698,0.30417571734762927,-0.8319782971264975
247,Uttar-Pradesh,5,7,1,8,0.10957071185112,0.14076403526367964,0.6076671652673009
248,Uttar-Pradesh,5,7,1,16,0.16879580914974213,0.1825941448667671,0.33984647818690394
249,Uttar-Pradesh,5,7,1,32,0.05768103897571564,0.06295182037776954,0.921532865932349
250,Uttar-Pradesh,5,15,1,1,0.3194918930530548,0.33383930691971975,-2.2269644409860256
