,State,Number_feature,Time_Step,number_layers,MAE,RMSE,R2_Score
39,Maharashtra,5,30,2,0.15455637872219086,0.17263420361230566,-3.4060918944811593
40,Maharashtra,6,5,1,0.15180696547031403,0.17361343713367788,-0.0601123017001981
41,Maharashtra,6,5,2,0.167353555560112,0.18230162093822452,-0.16886994182666104
42,Maharashtra,6,7,1,0.1562601774930954,0.17162643687382315,-0.12075385729272825
43,Maharashtra,6,7,2,0.19454894959926605,0.21509993624433532,-0.7604446261325049
44,Maharashtra,6,15,1,0.14917154610157013,0.16153826708910754,-0.4386690586587727
45,Maharashtra,6,15,2,0.16955910623073578,0.18802479971367936,-0.9491278897250157
46,Maharashtra,6,30,1,0.1863892525434494,0.1955699749423547,-4.654630618662628
47,Maharashtra,6,30,2,0.12740278244018555,0.14168680847842252,-1.96796476568599
48,Karnataka,1,5,1,0.1161700114607811,0.1416631761873554,0.6575395061539344
49,Karnataka,1,5,2,0.07741035521030426,0.08955329092787581,0.8631453300296118
50,Karnataka,1,7,1,0.12178604304790497,0.1444559481062792,0.6340962788585154
51,Karnataka,1,7,2,0.06792378425598145,0.07797199704531925,0.8933960437628363
52,Karnataka,1,15,1,0.12850718200206757,0.1489331978373856,0.5480731035626633
53,Karnataka,1,15,2,0.15509822964668274,0.1744335646368226,0.3800662266996041
54,Karnataka,1,30,1,0.13163238763809204,0.13943280731847169,0.2830344408404012
55,Karnataka,1,30,2,0.1433519870042801,0.15358718800813037,0.13008195264781042
56,Karnataka,2,5,1,0.1301804482936859,0.1525249198677798,0.6030112780747503
57,Karnataka,2,5,2,0.1479327380657196,0.17462212070140667,0.47965063117544304
58,Karnataka,2,7,1,0.09819407761096954,0.12262950228962222,0.7363146962411826
59,Karnataka,2,7,2,0.1895247995853424,0.2166976615777611,0.17661212685870142
60,Karnataka,2,15,1,0.11996757984161377,0.13915672967272552,0.6054576924604698
61,Karnataka,2,15,2,0.17605844140052795,0.20384535154140127,0.1533833416450905
62,Karnataka,2,30,1,0.10312281548976898,0.11472959602743303,0.5145782210837664
63,Karnataka,2,30,2,0.15206198394298553,0.15504021793856645,0.1135441879818716
64,Karnataka,3,5,1,0.19238224625587463,0.21139050336951706,0.23745147050846316
65,Karnataka,3,5,2,0.17338219285011292,0.19620749453653377,0.3430569282985012
66,Karnataka,3,7,1,0.18907347321510315,0.21079603502466582,0.2208503458244362
67,Karnataka,3,7,2,0.14989708364009857,0.16885848377430646,0.5000325043575728
68,Karnataka,3,15,1,0.2333252876996994,0.25079163740755456,-0.28147819939327823
69,Karnataka,3,15,2,0.21446044743061066,0.23025414610110936,-0.08018979072372945
70,Karnataka,3,30,1,0.19751709699630737,0.20296501314806653,-0.5191849974582017
71,Karnataka,3,30,2,0.31737011671066284,0.3237257967190325,-2.8647636787432216
72,Karnataka,4,5,1,0.1002630889415741,0.12954106221232348,0.7136406246437988
73,Karnataka,4,5,2,0.12239211052656174,0.14267002697254214,0.6526542509395983
74,Karnataka,4,7,1,0.10291118919849396,0.12904456694063496,0.708004997443658
75,Karnataka,4,7,2,0.1505478024482727,0.17005548485941263,0.49291906302595345
76,Karnataka,4,15,1,0.11711927503347397,0.13502602367223204,0.6285330786059008
77,Karnataka,4,15,2,0.1966339349746704,0.2154748836360785,0.0540275324147953
78,Karnataka,4,30,1,0.1826733648777008,0.19878272416962936,-0.4572216795013957
79,Karnataka,4,30,2,0.21896381676197052,0.23441926220334888,-1.0265388381415255
80,Karnataka,5,5,1,0.16727536916732788,0.19336877665156266,0.361928685536239
81,Karnataka,5,5,2,0.1116492822766304,0.134758264921142,0.6901101663626343
82,Karnataka,5,7,1,0.1585206538438797,0.18192764903178169,0.4196454628827917
83,Karnataka,5,7,2,0.15673910081386566,0.17988569275976224,0.43260007845506576
84,Karnataka,5,15,1,0.08845730870962143,0.10190435792476066,0.7884219111392234
85,Karnataka,5,15,2,0.11862325668334961,0.13871599892330813,0.607952853032694
