,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
250,Maharashtra,6,5,4,3,0.2515527606010437,0.279817802295459,-2.3942513762443736
251,Maharashtra,6,5,4,4,0.20903994143009186,0.23104794509349924,-1.314182185463432
252,Maharashtra,6,7,2,1,0.33019715547561646,0.37227034510755297,-5.593029029645356
253,Maharashtra,6,7,2,2,0.28695225715637207,0.33287738248192356,-4.271529812556695
254,Maharashtra,6,7,2,3,0.3552611470222473,0.3822778549436492,-5.952267085930214
255,Maharashtra,6,7,2,4,0.2715681791305542,0.323825965938572,-3.9887475305067452
256,Maharashtra,6,7,3,1,0.3285179138183594,0.3885299960404359,-6.181534148602186
257,Maharashtra,6,7,3,2,0.25851067900657654,0.3042454324706998,-3.4036851354549063
258,Maharashtra,6,7,3,3,0.275129497051239,0.32326214777696916,-3.9713894617568375
259,Maharashtra,6,7,3,4,0.23956657946109772,0.26193740592778275,-2.2640979370310728
260,Maharashtra,6,7,4,1,0.3339001536369324,0.3887264462600075,-6.188798243356985
261,Maharashtra,6,7,4,2,0.3807433545589447,0.4289530980385254,-7.753620327072987
262,Maharashtra,6,7,4,3,0.3173070549964905,0.3617903768260234,-5.2270469347667365
263,Maharashtra,6,7,4,4,0.24271899461746216,0.272715951673747,-2.5382556623925527
264,Maharashtra,6,15,2,1,0.39908161759376526,0.4491325129786483,-13.77810289905452
265,Maharashtra,6,15,2,2,0.41321882605552673,0.4708972862859298,-15.245084077706117
266,Maharashtra,6,15,2,3,0.35445672273635864,0.39606976558744533,-10.492459704184922
267,Maharashtra,6,15,2,4,0.38037100434303284,0.4254342686426885,-12.259727762456619
268,Maharashtra,6,15,3,1,0.4224967360496521,0.47630772268364474,-15.620532631267494
269,Maharashtra,6,15,3,2,0.38697656989097595,0.44662299486548807,-13.613418948572246
270,Maharashtra,6,15,3,3,0.3739940822124481,0.42430037456116515,-12.189139948559752
271,Maharashtra,6,15,3,4,0.3297908902168274,0.3740065847240479,-9.247741631823226
272,Maharashtra,6,15,4,1,0.4136431813240051,0.47211281613098416,-15.329062013597117
273,Maharashtra,6,15,4,2,0.39952921867370605,0.45793613287751717,-14.36312201635386
274,Maharashtra,6,15,4,3,0.3946942985057831,0.43759797906469977,-13.028790433961454
275,Maharashtra,6,15,4,4,0.30404844880104065,0.33978410175438556,-7.458157406475792
276,Maharashtra,6,30,2,1,0.3585710823535919,0.39869502104096616,-34.388972209405544
277,Maharashtra,6,30,2,2,0.42542344331741333,0.46096816203403324,-46.307307032832405
278,Maharashtra,6,30,2,3,0.42321789264678955,0.47033271619367406,-48.2489222400042
279,Maharashtra,6,30,2,4,0.37595486640930176,0.4096502179743418,-36.36050626244102
280,Maharashtra,6,30,3,1,0.38621437549591064,0.42853154837025526,-39.88386741020451
281,Maharashtra,6,30,3,2,0.5048097372055054,0.547794604272999,-65.80698505690893
282,Maharashtra,6,30,3,3,0.3808498978614807,0.43139249479200936,-40.43158056290821
283,Maharashtra,6,30,3,4,0.3469013273715973,0.3935077156451964,-33.474091650939826
284,Maharashtra,6,30,4,1,0.42082440853118896,0.4713942807517431,-48.471487791000904
285,Maharashtra,6,30,4,2,0.44791558384895325,0.4876688206405204,-51.94638761466363
286,Maharashtra,6,30,4,3,0.4036208987236023,0.4457701623435593,-43.23930775175605
287,Maharashtra,6,30,4,4,0.3564848303794861,0.40091354833762055,-34.78391097515163
288,Karnataka,1,5,2,1,0.11234190315008163,0.12860554242439756,0.6979224777575692
289,Karnataka,1,5,2,2,0.10892923921346664,0.12614016296763286,0.70939314842662
290,Karnataka,1,5,2,3,0.05949767678976059,0.0674616069627952,0.9168786859846546
291,Karnataka,1,5,2,4,0.1008317843079567,0.11007387957159741,0.778707025050624
292,Karnataka,1,5,3,1,0.03476293012499809,0.03974844992353013,0.9711437777478197
293,Karnataka,1,5,3,2,0.12330570816993713,0.1464731720773046,0.6081541339176282
294,Karnataka,1,5,3,3,0.12698012590408325,0.1480817798945547,0.599500216231579
295,Karnataka,1,5,3,4,0.09179262071847916,0.10723394080175166,0.7899785828012614
296,Karnataka,1,5,4,1,0.05942665413022041,0.07147876764411443,0.9066846298280957
297,Karnataka,1,5,4,2,0.1164434403181076,0.14125608194811348,0.6355706369717042
298,Karnataka,1,5,4,3,0.17669177055358887,0.1961834751650832,0.2970508720610765
299,Karnataka,1,5,4,4,0.12171736359596252,0.14305336668200483,0.6262379580339767
300,Karnataka,1,7,2,1,0.16466233134269714,0.17932966094602767,0.38954816815704796
301,Karnataka,1,7,2,2,0.12814658880233765,0.1432056530522756,0.6107152076516726
302,Karnataka,1,7,2,3,0.08937986195087433,0.10459769795594283,0.7923216020200914
303,Karnataka,1,7,2,4,0.09805916994810104,0.1117822853234527,0.7628118245007222
304,Karnataka,1,7,3,1,0.09418552368879318,0.10317443453912489,0.7979349274205274
